ID,N_VICTIMAS,AÑO,MES,DIA,HORA,LUGAR_DEL_HECHO,TIPO_DE_RUTA,COMUNA,X,Y,VICTIMA,ACUSADO,ROL,SEXO,EDAD
2017-0068,1,2017,5,27,19,AV. TTE. FRANCISCO RABANAL 2950,avenida,8,-58.43580656,-34.66437532,moto,objeto fijo,conductor,masculino,32
2017-0069,1,2017,5,24,14,AV. GRAL. PAZ Y ULRICO SCHMIDL,avenida,9,-58.52173071,-34.65997463,moto,auto,conductor,masculino,39
2017-0070,1,2017,5,30,13,NUEVA YORK  3696,calle,11,-58.50791763,-34.59804273,peaton,auto,peaton,masculino,80
2017-0072,1,2017,6,3,23,AV. DE LOS CONSTITUYENTES Y VALLEJOS,avenida,12,-58.49175088,-34.58226957,auto,auto,conductor,masculino,25
2017-0073,1,2017,6,4,9,AV. CORRIENTES Y ECUADOR,avenida,3,-58.40781467,-34.60425669,moto,auto,conductor,masculino,19
2017-0074,1,2017,6,4,12,CASCO 133,calle,9,-58.52567073,-34.63787791,moto,auto,conductor,masculino,70
2017-0075,1,2017,6,12,22,AV. DE MAYO Y AV. 9 DE JULIO,avenida,1,-58.38154200,-34.60906385,peaton,moto,peaton,masculino,55
2017-0076,1,2017,6,13,14,AV. RAMON CASTILLO Y CALLE 12,avenida,2,-58.38526125,-34.57805810,peaton,cargas,peaton,femenino,30
2017-0077,1,2017,6,17,23,FRAY JUSTO SANTAMARIA DE ORO 1930,calle,14,-58.42934104,-34.58451712,moto,cargas,conductor,femenino,60
2017-0079,1,2017,6,19,16,MEXICO Y DEAN FUNES,calle,3,-58.40657493,-34.61781124,moto,cargas,conductor,masculino,33
2017-0080,1,2017,6,22,10,AV. JUAN B ALBERDI Y AV. ESCALADA,avenida,9,-58.49525314,-34.64487785,peaton,cargas,peaton,femenino,95
2017-0082,1,2017,6,25,22,AV. ENTRE RIOS Y AV. BRASIL,avenida,4,-58.39092851,-34.62932696,peaton,auto,peaton,masculino,36
2017-0083,1,2017,7,4,0,AV. JUAN B ALBERDI Y GUARDIA NACIONAL,avenida,9,-58.49603546,-34.64564271,moto,cargas,conductor,masculino,37
2017-0084,1,2017,7,5,12,AV. DEL LIBERTADOR Y RODRIGUEZ PEÑA,avenida,2,-58.38502878,-34.58703485,peaton,pasajeros,peaton,femenino,73
2017-0085,1,2017,7,7,14,TACUARI Y AV. MARTIN GARCIA,avenida,4,-58.37261143,-34.63150425,peaton,pasajeros,peaton,masculino,84
2017-0086,1,2017,7,9,7,AV. RIVADAVIA Y MURGUIONDO,avenida,9,-58.51876802,-34.63905965,peaton,moto,peaton,femenino,30
2017-0087,1,2017,7,10,10,24 DE NOVIEMBRE 390,calle,3,-58.41095567,-34.61516101,peaton,auto,peaton,femenino,73
2017-0088,1,2017,7,10,22,AV. PASEO COLON Y BRASIL,avenida,1,-58.36797542,-34.62519403,peaton,pasajeros,peaton,masculino,43
